name,description,label
x_primary_key,Unique record ID.,
x_created_by,Person who created the record.,
x_created_timestamp,Timestamp when the record was created.,
x_modified_by,Person who modified the record.,
x_modified_timestamp,Timestamp when the record was modified.,
x_record_status,Status of the record as determined by research team.,
x_error_message,Error message entered by research team.,
medstar_id,Unique record number in MedStar System.,
name_full,Full name of older individual.,Full name
neglect_go,"SR_1a. Do you need someone to help you get to the places you need to go, for example do you need someone to drive you to the grocery store, a place of worship, the doctor?",Need transportation help
neglect_go_2cat,"SR_1a. Do you need someone to help you get to the places you need to go, for example do you need someone to drive you to the grocery store, a place of worship, the doctor?",Need transportation help
neglect_go_2cat_f,"SR_1a. Do you need someone to help you get to the places you need to go, for example do you need someone to drive you to the grocery store, a place of worship, the doctor?",Need transportation help
neglect_go_help,SR_1b. Do you have someone who helps with this?,Have transportation help
neglect_go_help_3cat,SR_1b. Do you have someone who helps with this?,Have transportation help
neglect_go_help_3cat_f,SR_1b. Do you have someone who helps with this?,Have transportation help
neglect_go_reliable,SR_1c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),Transportation help reliability
neglect_go_reliable_4cat,SR_1c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),Transportation help reliability
neglect_go_reliable_4cat_f,SR_1c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),Transportation help reliability
neglect_food,"SR_2a. Do you need someone to make sure you have enough food, medicines or any other things you need in your house?",Need food/ medicine help
neglect_food_2cat,"SR_2a. Do you need someone to make sure you have enough food, medicines or any other things you need in your house?",Need food/ medicine help
neglect_food_2cat_f,"SR_2a. Do you need someone to make sure you have enough food, medicines or any other things you need in your house?",Need food/ medicine help
neglect_food_help,SR_2b. Do you have someone who helps with this?,Have food/ medicine help
neglect_food_help_3cat,SR_2b. Do you have someone who helps with this?,Have food/ medicine help
neglect_food_help_3cat_f,SR_2b. Do you have someone who helps with this?,Have food/ medicine help
neglect_food_reliable,SR_2c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),Food/ medicine help reliability
neglect_food_reliable_4cat,SR_2c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),Food/ medicine help reliability
neglect_food_reliable_4cat_f,SR_2c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),Food/ medicine help reliability
neglect_house,"SR_3a. Do you need someone to help you with household things, like cooking meals, helping you eat, or making sure you take the correct medicines each day?",Need household activities help
neglect_house_2cat,"SR_3a. Do you need someone to help you with household things, like cooking meals, helping you eat, or making sure you take the correct medicines each day?",Need household activities help
neglect_house_2cat_f,"SR_3a. Do you need someone to help you with household things, like cooking meals, helping you eat, or making sure you take the correct medicines each day?",Need household activities help
neglect_house_help,SR_3b. Do you have someone who helps with this?,Have household activities help
neglect_house_help_3cat,SR_3b. Do you have someone who helps with this?,Have household activities help
neglect_house_help_3cat_f,SR_3b. Do you have someone who helps with this?,Have household activities help
neglect_house_reliable,SR_3c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),Household activities help reliability
neglect_house_reliable_4cat,SR_3c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),Household activities help reliability
neglect_house_reliable_4cat_f,SR_3c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),Household activities help reliability
neglect_clean,SR_4a. Do you need someone to help you with house cleaning or yard work?,Need house cleaning/ yard work help
neglect_clean_2cat,SR_4a. Do you need someone to help you with house cleaning or yard work?,Need house cleaning/ yard work help
neglect_clean_2cat_f,SR_4a. Do you need someone to help you with house cleaning or yard work?,Need house cleaning/ yard work help
neglect_clean_help,SR_4b. Do you have someone who helps with this?,Have house cleaning/ yard work help
neglect_clean_help_3cat,SR_4b. Do you have someone who helps with this?,Have house cleaning/ yard work help
neglect_clean_help_3cat_f,SR_4b. Do you have someone who helps with this?,Have house cleaning/ yard work help
neglect_clean_reliable,SR_4c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),House cleaning/ yard work help reliability
neglect_clean_reliable_4cat,SR_4c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),House cleaning/ yard work help reliability
neglect_clean_reliable_4cat_f,SR_4c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),House cleaning/ yard work help reliability
neglect_ready,"SR_5a. Do you need someone to help you get out of bed, get showered, or get dressed?",
neglect_ready_2cat,"SR_5a. Do you need someone to help you get out of bed, get showered, or get dressed?",
